85932571,2.809,-9.020,2.219,0.000,-0.002,-0.004,-223768
85935792,2.809,-9.020,2.219,0.004,0.006,0.004,-223377
85943225,2.844,-9.020,2.293,-0.002,0.012,0.016,-223003
85946446,2.809,-9.020,2.293,-0.002,0.012,0.016,-223424
85952879,2.809,-9.020,2.293,0.004,0.004,-0.004,-223143
85957100,2.809,-9.059,2.258,0.004,0.004,-0.004,-223294
85960321,2.809,-9.059,2.258,0.006,0.014,0.006,-223074
85966753,2.809,-9.059,2.258,-0.004,0.021,0.006,-223033
85970974,2.809,-9.059,2.258,-0.006,0.018,-0.002,-223056
85977407,2.730,-9.055,2.258,-0.006,0.006,-0.006,-223072
85980628,2.730,-9.098,2.293,-0.006,0.006,-0.006,-223249
85987061,2.730,-9.098,2.293,0.002,0.006,0.004,-222474
85991281,2.730,-9.098,2.293,0.004,0.000,0.004,-223460
85996715,2.730,-9.098,2.293,0.016,-0.006,0.004,-222823
86002149,2.770,-9.059,2.258,0.012,-0.014,0.002,-223394
86005370,2.809,-9.020,2.219,0.012,-0.014,0.002,-223069
86011803,2.809,-9.020,2.219,0.006,-0.006,-0.002,-223413
86015024,2.809,-9.020,2.219,0.006,-0.012,0.008,-223657
86022457,2.844,-9.059,2.219,0.002,-0.004,0.004,-221857
86025678,2.844,-9.059,2.219,0.004,-0.002,0.016,-223350
86032111,2.844,-9.059,2.219,0.000,-0.004,0.000,-223842
86036332,2.809,-9.059,2.293,0.000,-0.004,0.000,-222605
86042765,2.809,-9.059,2.293,0.004,0.008,-0.008,-223896
86045986,2.809,-9.059,2.293,0.000,0.016,0.008,-223118
86051419,2.844,-9.094,2.258,-0.006,0.025,0.031,-222412
86055640,2.691,-9.055,2.219,-0.006,0.025,0.031,-222422
86062074,2.691,-9.055,2.219,0.002,0.012,0.010,-223093
86066294,2.691,-9.055,2.219,0.002,0.012,0.010,-223144
86071727,2.691,-9.055,2.219,-0.004,-0.006,-0.029,-223198
86075948,2.770,-9.094,2.258,-0.004,-0.006,-0.029,-222932
86081382,2.770,-9.094,2.258,0.000,0.002,0.020,-222841
86086816,2.730,-9.098,2.258,0.004,-0.014,0.020,-222742
86091037,2.770,-9.094,2.293,0.004,-0.014,0.020,-223426
86096470,2.770,-9.094,2.293,0.006,-0.031,-0.012,-222500
86100691,2.770,-9.094,2.293,0.002,-0.025,-0.012,-222693
