time_ms,ax,ay,az,gx,gy,gz,load_raw
258550,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220844
258600,1.238281,1.554688,9.414063,0.000000,0.000000,0.000000,-220825
258651,1.238281,1.554688,9.453125,0.000000,0.000000,0.000000,-220888
258706,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220959
258757,1.238281,1.554688,9.453125,0.000000,0.000000,0.000000,-220856
258808,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220953
258858,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220944
258910,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220899
258960,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-221003
259010,1.238281,1.515625,9.453125,0.000000,0.000000,0.000000,-220882
259060,1.160156,1.593750,9.457031,0.000000,0.000000,0.000000,-220888
259110,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220932
259160,1.238281,1.554688,9.414063,0.000000,0.000000,0.000000,-220950
259211,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220991
259261,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220911
259315,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220877
259366,1.199219,1.515625,9.417969,0.000000,0.000000,0.000000,-220826
259417,1.238281,1.593750,9.417969,0.000000,0.000000,0.000000,-220861
259470,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220873
259520,1.238281,1.593750,9.417969,0.000000,0.000000,0.000000,-220781
259574,1.238281,1.554688,9.414063,0.000000,0.000000,0.000000,-220947
259627,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220817
259678,1.199219,1.515625,9.417969,0.000000,0.000000,0.000000,-220840
259730,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220741
259780,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220724
259832,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220874
259887,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220734
259937,1.199219,1.515625,9.457031,0.000000,0.000000,0.000000,-220753
259989,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220721
260039,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220817
260091,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220812
260141,1.199219,1.593750,9.386719,0.000000,0.000000,0.000000,-220749
260191,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220764
260241,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220753
260291,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220719
260345,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220836
260397,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220832
260448,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220777
260501,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220760
260551,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220724
260601,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220829
260651,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220710
260701,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220784
260752,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220804
260802,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220779
260852,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220809
260902,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220770
260958,1.238281,1.554688,9.414063,0.000000,0.000000,0.000000,-220889
261008,1.238281,1.554688,9.414063,0.000000,0.000000,0.000000,-220785
261058,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220725
261108,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220858
261161,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220756
261211,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220736
261261,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220685
261311,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220739
261361,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220768
261416,1.238281,1.515625,9.453125,0.000000,0.000000,0.000000,-220764
261469,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220781
261520,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220855
261571,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220838
261621,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220767
