pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.007143917,842283004,3.266,-9.133,-0.656,0.000,0.000,0.000,-222173
2.007237208,842287224,3.191,-9.094,-0.656,0.000,0.000,0.000,-221853
2.007329875,842291444,3.191,-9.094,-0.656,0.000,0.000,0.000,-222367
2.007418833,842297664,3.266,-9.133,-0.617,0.000,0.000,0.000,-222801
2.007512625,842302884,3.266,-9.133,-0.617,0.000,0.000,0.000,-222115
2.007600875,842309104,3.266,-9.133,-0.539,0.000,0.000,0.000,-222660
2.00769125,842314324,3.266,-9.133,-0.539,0.000,0.000,0.000,-221738
2.007779375,842323544,3.266,-9.133,-0.539,0.000,0.000,0.000,-222063
2.007867833,842327764,3.266,-9.133,-0.617,0.000,0.000,0.000,-222341
2.007963625,842331984,3.266,-9.133,-0.617,0.000,0.000,0.000,-222384
2.008056625,842338205,3.227,-9.098,-0.617,0.000,0.000,0.000,-222518
2.008154375,842342425,3.227,-9.098,-0.617,0.000,0.000,0.000,-223275
2.008265542,842347645,3.227,-9.098,-0.578,0.000,0.000,0.000,-222859
2.008362833,842351866,3.227,-9.098,-0.578,0.000,0.000,0.000,-222508
2.008452958,842358086,3.266,-9.176,-0.617,0.000,0.000,0.000,-222685
2.008541708,842363306,3.266,-9.176,-0.617,0.000,0.000,0.000,-223420
2.008639208,842368526,3.266,-9.133,-0.617,0.000,0.000,0.000,-221758
2.0087325,842373746,3.266,-9.133,-0.617,0.000,0.000,0.000,-222897
2.008827083,842379967,3.266,-9.176,-0.617,0.000,0.000,0.000,-221688
2.008917125,842384187,3.266,-9.176,-0.617,0.000,0.000,0.000,-221706
2.009008333,842389407,3.266,-9.133,-0.578,0.000,0.000,0.000,-222146
2.009100042,842394627,3.266,-9.133,-0.578,0.000,0.000,0.000,-222773
2.009189542,842399849,3.227,-9.137,-0.539,0.000,0.000,0.000,-221866
2.009288667,842404070,3.227,-9.137,-0.539,0.000,0.000,0.000,-222052
2.009408167,842409290,3.227,-9.172,-0.539,0.000,0.000,0.000,-222716
2.009539542,842414510,3.227,-9.172,-0.539,0.000,0.000,0.000,-222098
2.009634583,842421730,3.227,-9.172,-0.539,0.000,0.000,0.000,-222181
2.009726042,842426950,3.266,-9.133,-0.656,0.000,0.000,0.000,-222608
2.009819875,842432170,3.266,-9.133,-0.656,0.000,0.000,0.000,-222299
2.009915333,842440392,3.305,-9.176,-0.500,0.000,0.000,0.000,-222184
2.010007917,842443612,3.305,-9.176,-0.500,0.000,0.000,0.000,-222946
2.010097542,842448832,3.266,-9.176,-0.578,0.000,0.000,0.000,-222751
2.010200458,842453052,3.266,-9.176,-0.578,0.000,0.000,0.000,-221705
2.010297333,842459272,3.266,-9.176,-0.617,0.000,0.000,0.000,-222768
2.010387292,842463492,3.266,-9.176,-0.617,0.000,0.000,0.000,-222172
2.010483375,842468712,3.227,-9.098,-0.656,0.000,0.000,0.000,-221747
2.010574667,842474932,3.227,-9.098,-0.656,0.000,0.000,0.000,-222459
2.010672667,842481152,3.227,-9.098,-0.656,0.000,0.000,0.000,-222158
2.01076325,842486372,3.266,-9.133,-0.578,0.000,0.000,0.000,-222351
2.010858583,842491594,3.266,-9.133,-0.578,0.000,0.000,0.000,-223509
2.010949208,842497814,3.227,-9.172,-0.539,0.000,0.000,0.000,-222874
2.011042583,842503034,3.227,-9.172,-0.539,0.000,0.000,0.000,-222253
2.01113325,842508254,3.266,-9.133,-0.539,0.000,0.000,0.000,-222741
2.011223375,842512474,3.266,-9.133,-0.539,0.000,0.000,0.000,-222448
2.011318333,842518694,3.266,-9.176,-0.617,0.000,0.000,0.000,-221710
2.011408333,842522914,3.266,-9.176,-0.617,0.000,0.000,0.000,-221976
2.01150425,842528134,3.305,-9.176,-0.617,0.000,0.000,0.000,-222547
2.011852958,842533354,3.305,-9.176,-0.617,0.000,0.000,0.000,-222894
2.011950542,842539577,3.266,-9.176,-0.578,0.000,0.000,0.000,-221307
2.012045333,842544797,3.266,-9.176,-0.578,0.000,0.000,0.000,-222678
2.012134042,842551017,3.266,-9.176,-0.578,0.000,0.000,0.000,-221650
2.0122285,842558237,3.227,-9.137,-0.617,0.000,0.000,0.000,-223039
2.012318167,842563457,3.227,-9.137,-0.617,0.000,0.000,0.000,-222114
2.012412417,842568677,3.227,-9.137,-0.617,0.000,0.000,0.000,-220769
2.012500625,842575897,3.227,-9.137,-0.617,0.000,0.000,0.000,-222452
2.012597042,842581117,3.227,-9.137,-0.617,0.000,0.000,0.000,-222126
2.012690292,842585337,3.266,-9.094,-0.578,0.000,0.000,0.000,-222004
2.012788083,842589557,3.305,-9.176,-0.656,0.000,0.000,0.000,-221543
2.012886917,842594777,3.305,-9.176,-0.656,0.000,0.000,0.000,-222545
2.012983625,842601997,3.305,-9.176,-0.656,0.000,0.000,0.000,-222193
2.013143333,842606217,3.227,-9.137,-0.539,0.000,0.000,0.000,-221852
2.013230042,842611437,3.227,-9.137,-0.539,0.000,0.000,0.000,-222384
2.013314958,842617657,3.266,-9.211,-0.656,0.000,0.000,0.000,-222720
2.013435208,842621877,3.266,-9.211,-0.656,0.000,0.000,0.000,-222029
2.013520875,842627097,3.266,-9.176,-0.578,0.000,0.000,0.000,-222279
2.013617542,842632317,3.266,-9.176,-0.578,0.000,0.000,0.000,-222596
2.013716583,842638537,3.266,-9.133,-0.578,0.000,0.000,0.000,-222092
2.013807917,842642757,3.266,-9.133,-0.578,0.000,0.000,0.000,-222962
2.013900333,842647977,3.266,-9.176,-0.539,0.000,0.000,0.000,-222026
2.013993667,842653197,3.266,-9.176,-0.539,0.000,0.000,0.000,-222012
2.014089708,842661417,3.266,-9.176,-0.539,0.000,0.000,0.000,-223406
2.014181958,842665637,3.227,-9.137,-0.656,0.000,0.000,0.000,-222326
2.014272542,842670857,3.227,-9.137,-0.656,0.000,0.000,0.000,-222035
2.014358083,842678077,3.266,-9.176,-0.539,0.000,0.000,0.000,-222627
2.014450167,842683297,3.266,-9.176,-0.539,0.000,0.000,0.000,-222881
2.014538125,842688518,3.227,-9.137,-0.617,0.000,0.000,0.000,-222548
2.014637833,842692738,3.227,-9.137,-0.617,0.000,0.000,0.000,-222417
2.014739917,842699958,3.266,-9.133,-0.578,0.000,0.000,0.000,-221855
2.014849083,842705178,3.266,-9.133,-0.578,0.000,0.000,0.000,-222248
2.014940292,842711398,3.266,-9.133,-0.578,0.000,0.000,0.000,-221534
2.015027208,842717619,3.227,-9.137,-0.617,0.000,0.000,0.000,-221642
2.01515325,842722840,3.227,-9.137,-0.617,0.000,0.000,0.000,-222928
2.015246583,842728060,3.266,-9.176,-0.617,0.000,0.000,0.000,-222206
2.015331458,842733280,3.266,-9.176,-0.617,0.000,0.000,0.000,-222112
2.015511667,842740500,3.305,-9.133,-0.656,0.000,0.000,0.000,-223036
2.015597542,842745720,3.305,-9.133,-0.656,0.000,0.000,0.000,-222873
2.01569125,842751940,3.305,-9.133,-0.656,0.000,0.000,0.000,-222106
2.01577675,842757160,3.266,-9.133,-0.617,0.000,0.000,0.000,-222867
2.015861708,842761380,3.266,-9.133,-0.617,0.000,0.000,0.000,-222057
2.015961417,842766600,3.266,-9.094,-0.578,0.000,0.000,0.000,-222362
2.033707292,842771820,3.266,-9.094,-0.578,0.000,0.000,0.000,-222318
2.033793667,842779040,3.227,-9.172,-0.539,0.000,0.000,0.000,-222744
2.033873958,842784260,3.227,-9.172,-0.539,0.000,0.000,0.000,-222521
2.033958125,842789481,3.227,-9.137,-0.539,0.000,0.000,0.000,-221685
2.034037375,842795701,3.227,-9.137,-0.539,0.000,0.000,0.000,-222947
2.03411775,842800922,3.227,-9.137,-0.539,0.000,0.000,0.000,-221758
2.034201792,842806142,3.266,-9.137,-0.691,0.000,0.000,0.000,-222697
2.034282042,842811362,3.266,-9.137,-0.691,0.000,0.000,0.000,-222932
