sample_start,frames,pc_time_s_callback,input_buffer_adc_time,current_time
0,512,0.011072708,43643.52677421589,43643.541550791
512,512,0.02756525,43643.53838421589,43643.553168041006
1024,512,0.034072125,43643.549994174886,43643.564721666
1536,512,0.0508195,43643.56160417489,43643.576407333
2048,512,0.062328875,43643.57321413289,43643.587944833
2560,512,0.06895575,43643.58482409089,43643.599577875
3072,512,0.08564475,43643.59643409089,43643.611249
3584,512,0.097196833,43643.60804404989,43643.622821708006
4096,512,0.103806208,43643.619654049886,43643.6344235
4608,512,0.120410792,43643.63126400789,43643.6460315
5120,512,0.132008333,43643.64287400789,43643.657641958
5632,512,0.13867425,43643.65448396589,43643.669276083005
6144,512,0.155261667,43643.66609396589,43643.680871250006
6656,512,0.166786,43643.67770392489,43643.692429625
7168,512,0.1734995,43643.689313924886,43643.704094041
7680,512,0.190127625,43643.70092388289,43643.715728125004
8192,512,0.200311417,43643.71253384089,43643.727293916
8704,512,0.208338917,43643.72414384089,43643.738934125
9216,512,0.224946208,43643.73575379989,43643.750546541
9728,512,0.233693458,43643.74736379989,43643.762079875
10240,512,0.243153875,43643.75897375789,43643.773751125
10752,512,0.259758625,43643.77058375789,43643.785368250006
11264,512,0.2670305,43643.78219371589,43643.796946083006
11776,512,0.277935625,43643.79380371589,43643.808553125
12288,512,0.294573333,43643.80541367489,43643.820167375
12800,512,0.301187083,43643.81702367489,43643.831791708006
13312,512,0.312820792,43643.82863363289,43643.843411541005
13824,512,0.329384417,43643.84024359089,43643.854999375006
14336,512,0.33602,43643.85185359089,43643.866618083004
14848,512,0.352631208,43643.86346354989,43643.878244958
15360,512,0.364206708,43643.87507354989,43643.889830041
15872,512,0.370898542,43643.88668350789,43643.901472208
16384,512,0.3874585,43643.89829350789,43643.913056541
16896,512,0.399059167,43643.90990346589,43643.924665000006
17408,512,0.405728458,43643.92151346589,43643.936318958
17920,512,0.422350833,43643.93312342489,43643.947939458005
18432,512,0.444176333,43643.96006221589,43643.974801458004
18944,512,0.46091025,43643.97167217489,43643.986494166005
19456,512,0.467493167,43643.983282174886,43643.998086333006
19968,512,0.479197375,43643.99489213289,43644.009703583004
20480,512,0.495679458,43644.00650213289,43644.021281541005
20992,512,0.502255542,43644.018138882886,43644.032873708005
21504,512,0.518914708,43644.02974938289,43644.044518333
22016,512,0.530456167,43644.04135988289,43644.056090625
22528,512,0.5371925,43644.05297042489,43644.067781708
23040,512,0.553765667,43644.06458092489,43644.079360958
23552,512,0.565354583,43644.07619142489,43644.090916083005
24064,512,0.572056208,43644.08780192489,43644.102630958005
24576,512,0.588609792,43644.09941246589,43644.114213041
25088,512,0.600167,43644.11102296589,43644.125781375005
