pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.214416209,1099973570,3.266,-9.133,-0.656,0.000,0.000,0.000,-222454
2.217037959,1099976047,3.266,-9.098,-0.730,0.000,0.000,0.000,-222675
2.219998667,1099979285,3.266,-9.098,-0.730,0.000,0.000,0.000,-222995
2.222220417,1099981490,3.266,-9.098,-0.730,0.018,0.016,0.004,-222995
2.233564959,1099985710,3.266,-9.098,-0.730,0.010,-0.002,-0.006,-222821
2.233680459,1099988931,3.227,-9.059,-0.691,0.010,-0.002,-0.006,-222270
2.234923417,1099994152,3.227,-9.059,-0.691,0.010,-0.002,-0.002,-223289
2.239093667,1099998373,3.227,-9.059,-0.691,-0.002,0.010,0.002,-223385
2.242414334,1100001594,3.227,-9.059,-0.691,0.002,-0.014,-0.006,-222388
2.246613584,1100005815,3.227,-9.059,-0.691,0.000,-0.008,0.002,-222151
2.250751959,1100010036,3.266,-9.133,-0.617,0.000,-0.008,0.002,-222239
2.253975417,1100013257,3.266,-9.133,-0.617,-0.002,-0.002,0.018,-222170
2.26696475,1100018478,3.266,-9.133,-0.617,0.008,-0.006,0.025,-222685
2.267041834,1100023699,3.266,-9.133,-0.617,-0.004,-0.002,-0.008,-222253
2.268722792,1100027920,3.266,-9.133,-0.617,0.002,-0.006,0.006,-222486
2.275134459,1100034141,3.266,-9.133,-0.617,-0.002,0.008,-0.008,-222474
2.279169709,1100038362,3.266,-9.133,-0.617,-0.006,-0.006,-0.008,-222537
2.28338425,1100042583,3.266,-9.055,-0.730,-0.006,-0.006,-0.008,-221776
2.285546417,1100044804,3.266,-9.055,-0.730,-0.010,0.000,0.004,-222380
2.300464167,1100049025,3.266,-9.055,-0.730,0.008,0.000,-0.002,-222801
2.300566125,1100054246,3.266,-9.055,-0.730,0.004,0.004,-0.008,-221163
2.300667292,1100058467,3.266,-9.055,-0.730,0.006,-0.008,0.000,-221773
2.303465042,1100062690,3.266,-9.098,-0.730,0.006,-0.008,0.000,-222067
