pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
0.0003650188446044922,201000,2.426,-9.020,2.715,0.000,0.000,-0.002,-222692
0.0007009506225585938,202000,2.461,-9.016,2.680,0.000,0.002,0.000,-222730
0.06561994552612305,203000,2.461,-9.055,2.680,0.000,0.000,0.000,-222857
0.17302298545837402,204000,2.461,-9.020,2.715,0.000,0.000,0.000,-222524
0.28643107414245605,205000,2.461,-9.016,2.641,0.000,0.000,0.000,-222891
0.39534902572631836,206000,2.426,-9.055,2.680,0.000,0.000,0.000,-222428
0.5087621212005615,207000,2.426,-9.016,2.641,0.000,0.000,0.000,-222036
0.6216509342193604,208000,2.426,-9.059,2.715,0.000,0.000,0.000,-222819
0.7370731830596924,209000,2.461,-9.020,2.715,0.000,0.000,0.000,-222595
0.8501870632171631,210000,2.426,-9.059,2.715,0.000,0.000,0.000,-223065
0.9617459774017334,211000,2.461,-9.055,2.680,0.000,0.000,0.000,-222385
1.0715289115905762,212000,2.426,-9.055,2.641,0.000,0.000,0.000,-221863
1.181684970855713,213000,2.426,-9.016,2.680,0.000,0.000,0.000,-222558
1.2959330081939697,214000,2.461,-9.020,2.754,0.000,0.000,0.000,-222101
1.4061760902404785,215000,2.500,-9.016,2.641,0.000,0.000,0.000,-222461
1.5211820602416992,216000,2.461,-9.016,2.680,0.000,0.000,0.000,-222727
1.6314060688018799,217000,2.461,-9.016,2.680,0.000,0.000,0.000,-222585
1.7415201663970947,218000,2.461,-9.016,2.641,0.000,0.000,0.000,-221982
1.8526370525360107,219000,2.426,-9.055,2.680,0.000,0.000,0.000,-222886
1.9659168720245361,220000,2.461,-9.020,2.754,0.000,0.000,0.000,-222653
2.0779032707214355,221000,2.461,-9.020,2.715,0.000,0.000,0.000,-222342
2.1861791610717773,222000,2.461,-9.020,2.715,0.000,0.000,0.000,-222777
2.2964611053466797,223000,2.426,-9.016,2.680,0.000,0.000,0.000,-222551
2.4103732109069824,224000,2.461,-8.980,2.680,0.000,0.000,0.000,-222221
2.523772954940796,225000,2.426,-9.016,2.680,0.000,0.000,0.000,-222246
2.631793260574341,226000,2.461,-9.016,2.680,0.000,0.002,0.002,-222605
2.7426161766052246,227000,2.461,-9.016,2.680,0.000,0.002,0.000,-222256
2.853940010070801,228000,2.461,-9.020,2.715,0.002,0.002,0.002,-222074
2.9645519256591797,229000,2.461,-9.016,2.641,0.000,0.002,-0.002,-222238
3.0834100246429443,230000,2.500,-9.016,2.680,0.000,0.002,0.002,-222440
3.1938092708587646,231000,2.461,-9.016,2.641,0.002,0.000,0.000,-222521
