sample_start,frames,pc_time_s_callback,input_buffer_adc_time,current_time
0,512,0.011065458,104634.95603229989,104634.97082712501
512,512,0.027457375,104634.96764225789,104634.98245945801
1024,512,0.033977833,104634.9792522159,104634.994021583
1536,512,0.050652625,104634.9908622159,104635.00568391601
2048,512,0.07246675,104635.0178010079,104635.032529125
2560,512,0.089131458,104635.02941096589,104635.044171916
3072,512,0.100193708,104635.0410209249,104635.0558235
3584,512,0.1073725,104635.0526309249,104635.067404625
4096,512,0.123970958,104635.06424088289,104635.079003708
4608,512,0.13354,104635.07585088289,104635.09062625
5120,512,0.142231875,104635.08746084089,104635.102253916
5632,512,0.158796542,104635.0990708409,104635.113837458
6144,512,0.166877583,104635.11068079989,104635.12539066601
6656,512,0.177011542,104635.12229079989,104635.137048416
7168,512,0.193665583,104635.1339007579,104635.148697416
7680,512,0.200257167,104635.1455107579,104635.160290875
8192,512,0.211875708,104635.1571207159,104635.171912541
8704,512,0.228465625,104635.1687306749,104635.18350416601
9216,512,0.235099625,104635.1803406749,104635.19513000001
9728,512,0.251741958,104635.1919506329,104635.2067695
10240,512,0.273534833,104635.2188894249,104635.23361012501
10752,512,0.290221208,104635.23049938289,104635.24526012501
11264,512,0.300216667,104635.24210938289,104635.256904291
11776,512,0.308452167,104635.2537193409,104635.26849070801
12288,512,0.325051375,104635.2653293409,104635.28009254101
12800,512,0.333525958,104635.27693929989,104635.29164800001
13312,512,0.343304042,104635.28854929989,104635.30332729101
13824,512,0.359911042,104635.3001592579,104635.31494200001
14336,512,0.366861042,104635.3117692579,104635.326538541
14848,512,0.378151625,104635.32337921589,104635.338169583
15360,512,0.394708208,104635.33498921589,104635.34974575
15872,512,0.401333208,104635.3465991749,104635.361373291
16384,512,0.417983167,104635.35820913289,104635.37300637501
16896,512,0.429501125,104635.36981913289,104635.384543416
17408,512,0.436220667,104635.38142909089,104635.396240666
17920,512,0.452818708,104635.3930390909,104635.40785804101
18432,512,0.46452075,104635.40464904989,104635.41942516601
18944,512,0.471027917,104635.41625904989,104635.43105708301
19456,512,0.488114375,104635.4278690079,104635.44264600001
19968,512,0.499285625,104635.4394790079,104635.454303125
20480,512,0.505844917,104635.45108625789,104635.465871041
20992,512,0.522445833,104635.46269617489,104635.47747229101
21504,512,0.533509833,104635.47430613289,104635.489039708
22016,512,0.540686208,104635.48591604989,104635.50070687501
22528,512,0.557274167,104635.4975259659,104635.512299708
23040,512,0.566838833,104635.5091358829,104635.523899291
23552,512,0.575478917,104635.52074579989,104635.535513875
24064,512,0.592134917,104635.5323557159,104635.54714866601
24576,512,0.600192708,104635.5439656749,104635.558717958
25088,512,0.610348708,104635.55557559089,104635.57038383301
25600,512,0.626950792,104635.5671855079,104635.581973791
26112,512,0.633514083,104635.5787954249,104635.593554666
26624,512,0.650126458,104635.59040534089,104635.605176708
27136,512,0.661655667,104635.60201525789,104635.616731083
27648,512,0.668402542,104635.61362521589,104635.628413375
28160,512,0.685000583,104635.62523513289,104635.64004466601
28672,512,0.696569083,104635.6368450499,104635.651612916
29184,512,0.703202333,104635.64845496589,104635.66323579101
29696,512,0.71980025,104635.66006488289,104635.674848666
30208,512,0.731374042,104635.67167479989,104635.68643241601
30720,512,0.738134292,104635.68328475789,104635.69812550001
31232,512,0.754618083,104635.69489746589,104635.709663083
31744,512,0.766276292,104635.7065074249,104635.72132575001
32256,512,0.772924458,104635.7181174249,104635.732938375
32768,512,0.789459125,104635.7297274249,104635.74450058301
33280,512,0.800149917,104635.74133738289,104635.75612250001
33792,512,0.807727,104635.75294738289,104635.767742875
34304,512,0.824293083,104635.7645573409,104635.77933770801
34816,512,0.833531333,104635.7761673409,104635.79088429101
35328,512,0.842539333,104635.78777729989,104635.80255608301
35840,512,0.859149042,104635.79938729989,104635.81418883301
36352,512,0.866866125,104635.8109972579,104635.82575220801
36864,512,0.877417833,104635.8226072579,104635.83743979101
37376,512,0.893961417,104635.83421721589,104635.84900662501
37888,512,0.900608208,104635.84582721589,104635.86062554101
38400,512,0.912170542,104635.8574371749,104635.87219691601
38912,512,0.928756042,104635.86904717489,104635.883812125
39424,512,0.935336125,104635.88065713289,104635.89542162501
39936,512,0.952032583,104635.89226713289,104635.90707566601
40448,512,0.963506375,104635.9038770909,104635.91858104101
40960,512,0.970259458,104635.9154870909,104635.930281791
41472,512,0.98682675,104635.92709704989,104635.941873791
41984,512,0.998414917,104635.93870388289,104635.95347387501
42496,512,1.005157458,104635.9503137999,104635.96515416601
43008,512,1.021719042,104635.96192375789,104635.97674187501
43520,512,1.033245875,104635.97353367489,104635.98829183301
44032,512,1.039924375,104635.9851435909,104635.99994362501
44544,512,1.05648075,104635.99675354989,104636.011523166
45056,512,1.066865083,104636.0083634659,104636.0231225
45568,512,1.074759583,104636.01997338289,104636.03477470801
46080,512,1.091312875,104636.0315833409,104636.046349458
46592,512,1.100216083,104636.0431932579,104636.05794175001
47104,512,1.109612917,104636.05480317489,104636.069624291
47616,512,1.126145208,104636.0664131329,104636.081194625
48128,512,1.133539958,104636.0780230499,104636.09273325
48640,512,1.144401167,104636.08963296589,104636.10441845801
49152,512,1.160955917,104636.1012429249,104636.11600729101
49664,512,1.167642667,104636.11285284089,104636.127653125
50176,512,1.179266458,104636.12446275789,104636.13928700001
50688,512,1.195807042,104636.1360726749,104636.15085412501
51200,512,1.2024775,104636.14768263289,104636.16248875001
51712,512,1.214084542,104636.1592925499,104636.17410087501
52224,512,1.23063825,104636.17090246589,104636.18568079101
52736,512,1.237346417,104636.18251242489,104636.19734041601
53248,512,1.253889792,104636.1941201749,104636.20893195801
53760,512,1.265444042,104636.2057300909,104636.22049879101
54272,512,1.272165083,104636.21734000789,104636.23216175001
54784,512,1.288705083,104636.22894988289,104636.24375008301
55296,512,1.300148,104636.24055979989,104636.25526983301
55808,512,1.306986792,104636.25216967489,104636.26698654101
56320,512,1.323554167,104636.2637795909,104636.278595333
56832,512,1.333556625,104636.2753894659,104636.29017775001
57344,512,1.341826042,104636.2869993829,104636.301828583
57856,512,1.35832575,104636.2986092579,104636.31337916601
58368,512,1.366884083,104636.31021917489,104636.32499975001
58880,512,1.376641917,104636.32182904989,104636.336652041
59392,512,1.393172625,104636.3334389659,104636.34821962501
59904,512,1.400212458,104636.34504884089,104636.359819916
60416,512,1.411479208,104636.3566587579,104636.37148591601
60928,512,1.42799725,104636.3682686329,104636.38303950001
61440,512,1.43457925,104636.3798785499,104636.39466420801
61952,512,1.4464305,104636.3914884249,104636.40637537501
62464,512,1.462808,104636.40309834089,104636.417863666
62976,512,1.469609917,104636.41470821589,104636.42957366601
63488,512,1.481175792,104636.42631813289,104636.441159666
64000,512,1.497682375,104636.43792800789,104636.452726666
64512,512,1.504455458,104636.44953934089,104636.46440400001
65024,512,1.515881083,104636.4611492579,104636.47591570801
65536,512,1.532532,104636.4727591749,104636.487556458
66048,512,1.539310417,104636.48436909089,104636.49926375001
66560,512,1.550729958,104636.49597900789,104636.5107575
67072,512,1.566838458,104636.5075889249,104636.52237375
67584,512,1.574132542,104636.51919884089,104636.53409700001
68096,512,1.590560125,104636.53080875789,104636.545591916
68608,512,1.600204458,104636.54241867489,104636.557137333
69120,512,1.608917917,104636.5540285909,104636.56888733301
69632,512,1.625370042,104636.56563850789,104636.58041308301
70144,512,1.633540125,104636.57724842489,104636.592006833
70656,512,1.643751083,104636.5888583829,104636.60372133301
71168,512,1.660236792,104636.60046829989,104636.61527520801
71680,512,1.666870667,104636.6120782159,104636.626851833
72192,512,1.678502667,104636.6236881329,104636.638464666
72704,512,1.69503125,104636.63529804989,104636.65007979101
73216,512,1.701808292,104636.64690796589,104636.66176900001
73728,512,1.713439625,104636.6585178829,104636.67338958301
74240,512,1.729865542,104636.6701277999,104636.68490745801
74752,512,1.73649775,104636.68173771589,104636.69652912501
75264,512,1.748208292,104636.6933483409,104636.7081915
75776,512,1.764672208,104636.70495825789,104636.71972316601
76288,512,1.771361583,104636.71656817489,104636.731369625
76800,512,1.782883042,104636.7281781329,104636.742926291
77312,512,1.799495042,104636.73978804989,104636.7545435
77824,512,1.806340083,104636.7513979659,104636.76629883301
78336,512,1.822748875,104636.76300792489,104636.77778437501
78848,512,1.833485333,104636.77461784089,104636.78940250001
79360,512,1.841152708,104636.7862277579,104636.80110466601
79872,512,1.857559042,104636.79783771589,104636.81260875001
80384,512,1.866865583,104636.8094476329,104636.824185916
80896,512,1.875944667,104636.8210575499,104636.83591904101
81408,512,1.892439542,104636.83266750789,104636.84747962501
81920,512,1.900206875,104636.8442774249,104636.858995666
82432,512,1.910811667,104636.85588734089,104636.870760916
82944,512,1.927244625,104636.86749725789,104636.882290333
83456,512,1.933944792,104636.8791072159,104636.893919666
83968,512,1.945644542,104636.89071713289,104636.905595958
84480,512,1.962067458,104636.90232704989,104636.917106833
84992,512,1.968880958,104636.91393700789,104636.92882629101
85504,512,1.980534,104636.92554692489,104636.94046679101
86016,512,1.996886833,104636.9371571329,104636.951923208
86528,512,2.003541833,104636.94876709089,104636.963559833
87040,512,2.0195,104636.9603770079,104636.975148583
87552,512,2.033498958,104636.9719869249,104636.986795791
88064,512,2.038394083,104636.9835968829,104636.998402875
88576,512,2.050730875,104636.9952067999,104637.009984541
89088,512,2.066840625,104637.00681675789,104637.02161925001
89600,512,2.073191458,104637.0184266749,104637.03319966601
