pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.006836583,447774443,3.227,-9.137,-0.961,0.008,0.000,0.006,-221079
2.00692875,447778664,3.227,-9.137,-0.961,-0.002,-0.004,0.002,-221909
2.007015167,447783885,3.227,-9.137,-0.961,0.002,0.004,-0.002,-221922
2.007102625,447788106,3.266,-9.133,-1.000,0.002,0.004,-0.002,-221867
2.007191042,447791327,3.266,-9.133,-1.000,-0.008,-0.004,0.006,-222188
2.007276167,447796549,3.266,-9.133,-1.000,0.014,-0.002,0.000,-222416
2.007366708,447800770,3.266,-9.133,-1.000,-0.004,-0.002,0.010,-221504
2.007453708,447804991,3.266,-9.133,-1.000,-0.012,0.002,-0.004,-221993
2.007544208,447810212,3.266,-9.133,-1.000,0.004,0.006,-0.008,-222306
2.007631458,447813433,3.266,-9.133,-1.000,-0.012,0.006,-0.006,-221184
2.007722792,447818641,3.266,-9.133,-0.961,-0.012,0.006,-0.006,-221184
2.00781025,447820861,3.266,-9.133,-0.961,0.000,-0.002,-0.002,-222145
2.007899333,447825082,3.266,-9.133,-0.961,-0.006,-0.004,0.020,-221827
2.007996458,447829303,3.266,-9.133,-0.961,-0.002,0.000,0.000,-221785
2.008091167,447833524,3.266,-9.133,-0.961,0.014,0.002,0.000,-221279
2.008182625,447838744,3.266,-9.133,-0.961,-0.010,0.000,0.016,-221406
2.008272542,447842965,3.266,-9.133,-0.961,0.002,-0.002,-0.008,-221440
2.008374667,447847186,3.191,-9.133,-0.961,0.002,-0.002,-0.008,-222270
2.008462375,447850407,3.191,-9.133,-0.961,-0.002,0.002,0.016,-223046
2.008555167,447856628,3.191,-9.133,-0.961,-0.008,0.000,-0.004,-222490
2.008644667,447860849,3.191,-9.133,-0.961,0.010,-0.002,-0.002,-221448
2.008734292,447865070,3.191,-9.133,-0.961,-0.002,0.008,-0.008,-221678
2.008828375,447869291,3.191,-9.133,-0.961,-0.014,0.004,-0.008,-221145
2.0089175,447873512,3.191,-9.133,-0.961,-0.006,-0.004,0.000,-222164
2.009012083,447877733,3.227,-9.137,-1.000,-0.006,-0.004,0.000,-221749
2.009102208,447879954,3.227,-9.137,-1.000,0.006,-0.006,-0.006,-222171
2.009197292,447885175,3.227,-9.137,-1.000,-0.002,0.010,0.006,-221144
2.009286583,447889396,3.227,-9.137,-1.000,-0.008,-0.004,0.002,-221343
2.009379458,447894617,3.227,-9.137,-1.000,0.004,0.000,0.006,-221912
2.009473583,447898838,3.227,-9.137,-1.000,-0.006,-0.010,-0.004,-222068
2.009560625,447904059,3.227,-9.137,-1.000,0.000,0.004,-0.002,-221781
2.009654167,447908280,3.266,-9.098,-0.922,0.000,0.004,-0.002,-221390
2.009739708,447911501,3.266,-9.098,-0.922,-0.006,0.000,0.023,-222381
2.009829792,447917722,3.266,-9.098,-0.922,-0.014,0.006,0.008,-222378
2.009916083,447921943,3.266,-9.098,-0.922,-0.004,0.000,0.008,-222433
2.010004458,447926164,3.266,-9.098,-0.922,0.004,0.008,0.004,-221605
2.010092,447930385,3.266,-9.098,-0.922,-0.002,0.004,-0.004,-221886
2.010181292,447935606,3.266,-9.098,-0.922,-0.002,0.010,0.008,-222296
2.010268875,447938827,3.266,-9.059,-1.039,-0.002,0.010,0.008,-222272
2.010356417,447941048,3.266,-9.059,-1.039,-0.012,-0.004,0.010,-222736
2.010447958,447946269,3.266,-9.059,-1.039,0.012,-0.006,-0.004,-222275
2.010531875,447950490,3.266,-9.059,-1.039,0.025,0.002,0.000,-222475
2.010622583,447955711,3.266,-9.059,-1.039,-0.014,0.012,-0.004,-222518
2.010707958,447958932,3.266,-9.059,-1.039,0.002,0.002,-0.010,-221941
2.010801792,447963153,3.266,-9.059,-1.039,-0.006,0.002,-0.008,-221659
2.010888542,447966374,3.227,-9.094,-0.922,-0.006,0.002,-0.008,-222200
2.010979625,447968595,3.227,-9.094,-0.922,-0.006,-0.002,-0.006,-222213
2.011077292,447972816,3.227,-9.094,-0.922,0.016,-0.012,0.012,-222073
2.011202083,447977037,3.227,-9.094,-0.922,-0.004,-0.006,0.008,-222900
2.011295875,447980258,3.227,-9.094,-0.922,-0.004,0.006,-0.008,-222691
2.011383833,447984479,3.227,-9.094,-0.922,0.020,-0.006,-0.027,-221633
2.0114765,447988700,3.227,-9.094,-0.922,-0.014,-0.004,0.000,-222090
2.011566,447992921,3.266,-9.094,-1.000,-0.014,-0.004,0.000,-221132
2.011653167,447996142,3.266,-9.094,-1.000,0.004,-0.006,-0.002,-221779
2.011743,448001363,3.266,-9.094,-1.000,0.014,-0.002,0.012,-221905
2.011829083,448005584,3.266,-9.094,-1.000,-0.006,-0.004,0.002,-221666
2.011920458,448009805,3.266,-9.094,-1.000,-0.002,-0.004,-0.004,-222381
2.012010917,448015026,3.266,-9.094,-1.000,-0.010,0.002,-0.006,-221754
2.012107208,448019247,3.266,-9.094,-1.000,-0.006,0.002,-0.014,-222022
2.012202042,448023468,3.266,-9.098,-0.922,-0.006,0.002,-0.014,-221866
2.012369542,448026689,3.266,-9.098,-0.922,0.004,-0.002,0.016,-222662
2.012454875,448031910,3.266,-9.098,-0.922,0.006,0.006,0.016,-223011
2.01254525,448037131,3.266,-9.098,-0.922,0.004,-0.002,-0.012,-222139
2.012636125,448041352,3.266,-9.098,-0.922,0.004,0.006,0.000,-222082
2.012752875,448045573,3.266,-9.098,-0.922,-0.006,0.004,-0.004,-222452
2.012841167,448049794,3.266,-9.098,-0.922,0.002,0.010,0.008,-221538
2.013043667,448054015,3.227,-9.133,-0.922,0.002,0.010,0.008,-222242
2.013166542,448056236,3.227,-9.133,-0.922,0.002,0.002,-0.006,-221739
2.013260833,448061457,3.227,-9.133,-0.922,0.006,0.006,-0.008,-222699
2.0133495,448065678,3.227,-9.133,-0.922,0.002,0.012,-0.010,-221733
2.033539708,448068899,3.227,-9.133,-0.922,0.002,-0.006,-0.004,-222559
