sample_start,frames,pc_time_s_callback,input_buffer_adc_time,current_time
0,512,0.015818792,43819.89749579989,43819.912295166
512,512,0.027416917,43819.90910579989,43819.923917916
1024,512,0.034031,43819.920715757886,43819.935523416
1536,512,0.050600625,43819.93232575789,43819.947102583006
2048,512,0.06213425,43819.94393571589,43819.958665166
2560,512,0.068770292,43819.955545674886,43819.970293541
3072,512,0.085478334,43819.96715567489,43819.981968416
3584,512,0.097050625,43819.97876563289,43819.99354925
4096,512,0.103628542,43819.990375632886,43820.005148125005
4608,512,0.120316959,43820.00198559089,43820.016808708
5120,512,0.131815625,43820.01359559089,43820.028341041005
5632,512,0.1384685,43820.025205549886,43820.039977791006
6144,512,0.155114084,43820.03681554989,43820.051616416
6656,512,0.166612375,43820.04842550789,43820.063154458
7168,512,0.17826375,43820.060035507886,43820.074790958
7680,512,0.189861125,43820.07164546589,43820.086389916
8192,512,0.200150417,43820.08325542489,43820.098024291
8704,512,0.213168125,43820.094865424886,43820.109671458005
9216,512,0.224701292,43820.10647538289,43820.121232666
9728,512,0.233532375,43820.11808538289,43820.13286325
10240,512,0.247989334,43820.12969534089,43820.144498916
10752,512,0.259477792,43820.14130534089,43820.156027416
11264,512,0.266870959,43820.15291529989,43820.167609791
11776,512,0.282793875,43820.164525299886,43820.179316625006
12288,512,0.294362709,43820.17613525789,43820.190889333004
12800,512,0.301066292,43820.18774525789,43820.202546416
13312,512,0.317619584,43820.19935521589,43820.21413575
13824,512,0.329165375,43820.21096517489,43820.225697208
14336,512,0.335870875,43820.22257517489,43820.237365166
14848,512,0.352439334,43820.23418513289,43820.248957041
15360,512,0.364054375,43820.24579513289,43820.260575375
15872,512,0.370695667,43820.25740509089,43820.272183791
16384,512,0.387268459,43820.26901509089,43820.28377675
16896,512,0.398901959,43820.28062504989,43820.295397666
17408,512,0.405543792,43820.29223504989,43820.307040375
17920,512,0.422118584,43820.30384500789,43820.318621041006
18432,512,0.433518417,43820.31545500789,43820.330180625
18944,512,0.445308292,43820.32706496589,43820.341821333
19456,512,0.456889542,43820.33867492489,43820.353412875
19968,512,0.466831,43820.35028492489,43820.365092208005
20480,512,0.480210584,43820.36189488289,43820.376707333
20992,512,0.49182825,43820.37350488289,43820.388315666
21504,512,0.500187417,43820.38510613289,43820.399913458
22016,512,0.515036,43820.396715924886,43820.411527666
22528,512,0.52656775,43820.408325715885,43820.423082375004
23040,512,0.53351975,43820.41993550789,43820.434711166
23552,512,0.549814167,43820.431545340885,43820.446315333
24064,512,0.561350292,43820.44315513289,43820.457882291004
24576,512,0.568116334,43820.454764924885,43820.469589541004
25088,512,0.584635459,43820.46637471589,43820.48114175
25600,512,0.596241,43820.47798450789,43820.492759166
26112,512,0.602869084,43820.48959434089,43820.504365833
26624,512,0.619440292,43820.50120413289,43820.515962916004
27136,512,0.630984375,43820.51281392489,43820.527532916
27648,512,0.637738292,43820.52442371589,43820.539219208
28160,512,0.654314167,43820.53603354989,43820.550830083004
28672,512,0.665886,43820.54764334089,43820.562409916005
29184,512,0.672489417,43820.55925313289,43820.573999833
29696,512,0.68910775,43820.57086292489,43820.585631
30208,512,0.700145792,43820.58247275789,43820.597237958005
30720,512,0.712360084,43820.59408254989,43820.608880166
31232,512,0.723848709,43820.60569234089,43820.620393833
31744,512,0.733546417,43820.61730213289,43820.631991958006
32256,512,0.747182167,43820.62891429989,43820.643704875
32768,512,0.758752625,43820.64052413289,43820.655284
33280,512,0.766877584,43820.65213400789,43820.666911541004
33792,512,0.78200625,43820.66374384089,43820.678530208
34304,512,0.793569417,43820.67535367489,43820.690102458
34816,512,0.800139167,43820.68696354989,43820.701662958
35328,512,0.8168615,43820.69857338289,43820.713375
35840,512,0.828413667,43820.71018321589,43820.724943041
36352,512,0.835111417,43820.72179309089,43820.736588041
36864,512,0.851666292,43820.73340292489,43820.748189083
37376,512,0.863171084,43820.74501279989,43820.759721833005
37888,512,0.86994425,43820.756622632885,43820.771413916
38400,512,0.886483084,43820.76823246589,43820.783004875004
38912,512,0.898082584,43820.77984234089,43820.794610916004
39424,512,0.904726459,43820.79145217489,43820.806218333004
39936,512,0.921307125,43820.80306204989,43820.817832041
40448,512,0.9329055,43820.81467188289,43820.829435416
40960,512,0.939509334,43820.82628171589,43820.841022375
41472,512,0.956138084,43820.83789159089,43820.852662000005
41984,512,0.966806875,43820.84950142489,43820.864255875
42496,512,0.979393042,43820.86111125789,43820.875912708005
43008,512,0.990955334,43820.87272113289,43820.887482791004
43520,512,1.00022225,43820.88433546589,43820.899039208
44032,512,1.014247292,43820.89594538289,43820.910749708004
44544,512,1.025809875,43820.90755529989,43820.922338458004
45056,512,1.033544292,43820.91916521589,43820.933956958004
45568,512,1.049050209,43820.93077513289,43820.945556833
46080,512,1.070879792,43820.95771375789,43820.972432500006
46592,512,1.087617792,43820.969323674886,43820.98412225
47104,512,1.099158667,43820.98093359089,43820.995685291
47616,512,1.10578625,43820.99254350789,43821.007303583
48128,512,1.122455709,43821.00415342489,43821.018963333
48640,512,1.133476875,43821.01576334089,43821.030538958
49152,512,1.145631209,43821.02737329989,43821.042153083006
49664,512,1.15727775,43821.03898321589,43821.053797041
50176,512,1.166864917,43821.05059313289,43821.065362458
50688,512,1.180445834,43821.062203049885,43821.076975666
51200,512,1.191976292,43821.073812965886,43821.088524000006
51712,512,1.200207125,43821.08542288289,43821.100111791005
52224,512,1.215332209,43821.09703279989,43821.111841083
52736,512,1.226925709,43821.10864271589,43821.123443833
53248,512,1.233585584,43821.120252632885,43821.135064375005
53760,512,1.250163667,43821.13186254989,43821.146680541
54272,512,1.26173125,43821.14347146589,43821.158256125
54784,512,1.268404584,43821.15508138289,43821.169874708
55296,512,1.284959625,43821.16669129989,43821.181477541
55808,512,1.29647225,43821.17830117489,43821.193013333
56320,512,1.303240834,43821.189911090885,43821.204710375
56832,512,1.319797084,43821.20152100789,43821.216315458005
57344,512,1.331373834,43821.21313088289,43821.227901166
57856,512,1.338043417,43821.22474079989,43821.239520708004
58368,512,1.354609292,43821.23635071589,43821.251132000005
58880,512,1.366206584,43821.24796059089,43821.262734708005
59392,512,1.372811667,43821.259570507886,43821.274321708006
59904,512,1.389393375,43821.27118042489,43821.285921708004
60416,512,1.400208584,43821.28279029989,43821.297500083005
60928,512,1.412679,43821.29440021589,43821.309196
61440,512,1.424247834,43821.30601013289,43821.320776041
61952,512,1.433547084,43821.31762000789,43821.33240225
62464,512,1.447509959,43821.329229924886,43821.344029291
62976,512,1.459075375,43821.34083984089,43821.355603541
63488,512,1.466869542,43821.35244975789,43821.367195750005
64000,512,1.482284709,43821.36405963289,43821.378810250004
64512,512,1.493865334,43821.37566954989,43821.390402666
65024,512,1.500649709,43821.38727934089,43821.402067791
65536,512,1.517128542,43821.39888921589,43821.413654666
66048,512,1.528690959,43821.410499132886,43821.425228083004
66560,512,1.53547975,43821.42210904989,43821.436909416
67072,512,1.551961584,43821.43371892489,43821.448488250004
67584,512,1.563596792,43821.44532884089,43821.460120625
68096,512,1.570222209,43821.45693875789,43821.471715708
68608,512,1.586824625,43821.46854863289,43821.483331583004
69120,512,1.5984145,43821.480158549886,43821.494939791
69632,512,1.60519075,43821.49176846589,43821.506621916
70144,512,1.6216665,43821.50337834089,43821.518178625
70656,512,1.633154,43821.51498825789,43821.529703041
71168,512,1.640041917,43821.52659813289,43821.54146425
71680,512,1.656465834,43821.53820804989,43821.552989208
72192,512,1.666810792,43821.54981796589,43821.564591708004
72704,512,1.679704709,43821.56142784089,43821.576223916
73216,512,1.691275584,43821.57303775789,43821.587804125
73728,512,1.700212709,43821.58464767489,43821.599366
74240,512,1.714537167,43821.596257549885,43821.611052500004
74752,512,1.726006959,43821.607867465886,43821.622563541
75264,512,1.733547125,43821.61947738289,43821.63425625
75776,512,1.749356084,43821.63108725789,43821.645875875
76288,512,1.760931417,43821.64269717489,43821.657460333
76800,512,1.767718042,43821.65430709089,43821.669134958
77312,512,1.784179042,43821.66591696589,43821.680700666
77824,512,1.795730542,43821.677526882886,43821.692267625
78336,512,1.80255275,43821.68913675789,43821.703965666005
78848,512,1.818993792,43821.70074667489,43821.715517041004
79360,512,1.830567209,43821.71235659089,43821.727100333
79872,512,1.837370042,43821.72396646589,43821.738792125005
80384,512,1.853856042,43821.73557638289,43821.750376208
80896,512,1.865417834,43821.74718629989,43821.761948208004
81408,512,1.872215917,43821.75879617489,43821.773636458005
81920,512,1.888614959,43821.77040609089,43821.78514525
82432,512,1.900143834,43821.78201600789,43821.7967785
82944,512,1.90694475,43821.793625882885,43821.808422666
83456,512,1.923471417,43821.80523579989,43821.819997041006
83968,512,1.9335425,43821.81684571589,43821.831600833
84480,512,1.946729834,43821.82845559089,43821.843247541
84992,512,1.958213084,43821.84006550789,43821.854767333
85504,512,1.96687925,43821.85167538289,43821.866467291
86016,512,1.981554417,43821.863285299885,43821.87807725
86528,512,1.993041625,43821.874895215886,43821.889590833
87040,512,2.000221625,43821.886505049886,43821.901298416
87552,512,2.016431167,43821.89811496589,43821.912931583
88064,512,2.028004125,43821.90972484089,43821.924519625005
88576,512,2.034786667,43821.92133475789,43821.936217791
89088,512,2.0512405,43821.93294467489,43821.947744958
