pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.233606667,105542572,3.305,-9.133,-0.656,0.000,0.000,0.000,-223708
2.23368375,105544879,3.266,-9.176,-0.617,0.000,0.000,0.000,-223624
2.233770209,105548116,3.266,-9.176,-0.617,0.000,0.000,0.000,-222284
2.233844959,105550336,3.266,-9.176,-0.617,0.018,0.008,-0.002,-222124
2.235297959,105554557,3.266,-9.176,-0.617,0.020,-0.004,0.000,-222813
2.26689575,105558778,3.266,-9.176,-0.617,0.004,0.006,0.000,-223462
2.266969292,105563998,3.266,-9.176,-0.617,0.002,0.002,0.004,-221561
2.267042875,105568219,3.305,-9.137,-0.691,0.002,0.002,0.004,-222697
2.267118584,105571440,3.305,-9.137,-0.691,0.002,0.002,0.012,-222345
2.267192167,105577661,3.305,-9.137,-0.691,0.006,-0.006,-0.008,-223052
2.267266375,105581882,3.305,-9.137,-0.691,0.004,-0.002,-0.006,-221828
2.267339584,105586103,3.305,-9.137,-0.691,0.016,-0.002,-0.004,-222572
2.271998167,105591324,3.305,-9.137,-0.691,-0.002,-0.004,0.002,-223182
2.300220542,105595545,3.305,-9.137,-0.691,-0.016,0.000,0.004,-223313
2.300302375,105599766,3.227,-9.172,-0.617,-0.016,0.000,0.004,-222246
2.300383584,105601987,3.227,-9.172,-0.617,-0.004,0.008,0.002,-222855
2.30046975,105607208,3.227,-9.172,-0.617,-0.006,-0.010,0.006,-223038
2.30054275,105611429,3.227,-9.172,-0.617,-0.008,0.006,0.000,-222751
2.300613667,105614650,3.227,-9.172,-0.617,0.004,0.000,0.004,-222767
2.300684834,105619871,3.227,-9.172,-0.617,0.004,0.006,0.002,-222777
2.305743709,105625092,3.227,-9.172,-0.617,0.014,-0.004,-0.008,-223475
2.333558084,105630313,3.227,-9.133,-0.691,0.014,-0.004,-0.008,-223356
2.333636542,105633534,3.227,-9.133,-0.691,0.002,0.004,-0.004,-221646
2.333712334,105638755,3.227,-9.133,-0.691,-0.006,-0.006,-0.008,-222618
2.33378875,105643976,3.227,-9.133,-0.691,-0.010,-0.004,0.004,-223198
2.333860959,105648197,3.227,-9.133,-0.691,0.014,0.000,0.000,-222602
2.33394175,105652418,3.227,-9.133,-0.691,-0.004,0.016,0.006,-222562
2.337367709,105656639,3.227,-9.133,-0.691,-0.004,-0.002,0.010,-224340
2.366935584,105661860,3.266,-9.133,-0.578,-0.004,-0.002,0.010,-221554
2.367012959,105665081,3.266,-9.133,-0.578,-0.010,0.004,-0.004,-222313
2.367085417,105670302,3.266,-9.133,-0.578,0.008,0.000,0.008,-222863
2.367160459,105675523,3.266,-9.133,-0.578,0.002,-0.004,-0.008,-223180
2.367240667,105679746,3.266,-9.133,-0.578,0.004,-0.004,0.012,-222486
2.367318834,105684967,3.266,-9.133,-0.578,0.000,-0.004,0.000,-222687
2.37098925,105690188,3.266,-9.133,-0.578,-0.006,0.006,0.004,-222313
2.400208542,105695409,3.227,-9.137,-0.539,-0.006,0.006,0.004,-221828
2.400283042,105697630,3.227,-9.137,-0.539,0.006,0.002,0.000,-223159
2.400358834,105702851,3.227,-9.137,-0.539,0.006,-0.004,-0.002,-222467
2.400439834,105707072,3.227,-9.137,-0.539,-0.004,0.010,0.018,-222953
2.400526667,105712293,3.227,-9.137,-0.539,0.006,-0.002,-0.002,-223012
2.400613625,105716514,3.227,-9.137,-0.539,-0.004,0.006,0.006,-221839
2.402476875,105721735,3.227,-9.098,-0.617,-0.004,0.006,0.006,-222967
2.405760459,105724956,3.227,-9.098,-0.617,-0.008,0.010,0.000,-222193
2.433555334,105731179,3.227,-9.098,-0.617,0.002,-0.002,0.012,-223058
2.433631959,105735399,3.227,-9.098,-0.617,-0.010,-0.004,-0.014,-222655
2.433706959,105740620,3.227,-9.098,-0.617,-0.004,0.000,-0.004,-222716
2.433797834,105745841,3.227,-9.098,-0.617,0.004,0.004,0.006,-223117
2.433871792,105751062,3.227,-9.098,-0.617,0.014,-0.002,0.006,-221511
2.436009167,105755283,3.305,-9.176,-0.578,0.014,-0.002,0.006,-222173
2.439150334,105758504,3.305,-9.176,-0.578,0.004,-0.004,0.000,-223088
2.466868709,105764725,3.305,-9.176,-0.578,-0.006,0.004,-0.002,-222686
2.466943,105768946,3.305,-9.176,-0.578,-0.004,-0.008,0.016,-223538
2.46701575,105773167,3.305,-9.176,-0.578,0.006,0.000,-0.008,-222287
2.467087625,105778388,3.305,-9.176,-0.578,0.002,0.000,-0.010,-222523
2.467159584,105783609,3.305,-9.176,-0.578,0.008,-0.006,0.006,-221930
2.468573584,105787830,3.266,-9.133,-0.656,0.008,-0.006,0.006,-222131
2.471881834,105791051,3.266,-9.133,-0.656,0.002,0.000,0.000,-222874
2.500253417,105796272,3.266,-9.133,-0.656,-0.002,-0.006,0.000,-222667
2.500326,105800493,3.266,-9.133,-0.656,0.002,0.004,0.002,-222725
2.50039875,105805714,3.266,-9.133,-0.656,0.004,-0.004,0.016,-222837
2.500472834,105809935,3.266,-9.133,-0.656,0.000,0.000,-0.010,-223072
2.500546084,105814156,3.266,-9.133,-0.656,-0.004,0.004,0.010,-222677
2.500624542,105817378,3.266,-9.176,-0.617,-0.004,0.004,0.010,-222090
2.500700125,105819599,3.266,-9.176,-0.617,0.016,-0.004,-0.006,-222780
2.505605042,105824820,3.266,-9.176,-0.617,-0.004,0.004,-0.002,-222384
2.533572959,105829041,3.266,-9.176,-0.617,0.000,0.004,0.000,-223256
2.533658459,105833262,3.266,-9.176,-0.617,-0.004,0.000,-0.006,-222139
2.533750209,105837483,3.266,-9.176,-0.617,0.002,0.010,0.006,-222674
2.533822709,105842704,3.266,-9.133,-0.539,0.002,0.010,0.006,-222852
2.533903375,105844925,3.266,-9.133,-0.539,-0.004,-0.004,-0.002,-222775
2.533986209,105849146,3.266,-9.133,-0.539,-0.008,0.000,-0.002,-222576
2.534074584,105853367,3.266,-9.133,-0.539,0.008,0.000,0.006,-222755
2.566832,105857588,3.266,-9.133,-0.539,-0.002,0.002,0.004,-222865
2.566908292,105862809,3.266,-9.133,-0.539,-0.002,-0.004,0.014,-222464
2.566988,105867030,3.266,-9.133,-0.539,0.004,-0.004,-0.002,-222816
2.567062375,105871251,3.266,-9.133,-0.656,0.004,-0.004,-0.002,-222685
2.567138334,105874472,3.266,-9.133,-0.656,0.002,-0.002,-0.010,-223063
2.567212334,105879693,3.266,-9.133,-0.656,0.010,-0.002,0.000,-223049
2.567290209,105884914,3.266,-9.133,-0.656,-0.010,0.006,0.010,-222122
2.569860542,105889135,3.266,-9.133,-0.656,-0.008,0.000,0.002,-222232
2.600235625,105894356,3.266,-9.133,-0.656,0.002,0.000,0.002,-222555
2.600308542,105898576,3.266,-9.133,-0.656,0.014,-0.002,0.012,-222977
2.60038175,105903797,3.266,-9.133,-0.578,0.014,-0.002,0.012,-222966
2.600459792,105907018,3.266,-9.133,-0.578,-0.004,-0.004,0.004,-222245
2.600533584,105912239,3.266,-9.133,-0.578,0.008,-0.002,0.004,-222781
2.600610625,105916460,3.266,-9.133,-0.578,-0.004,-0.006,-0.004,-222205
2.601349959,105920681,3.266,-9.133,-0.578,-0.002,-0.012,0.006,-223047
2.606647709,105925902,3.266,-9.133,-0.578,0.010,0.006,0.006,-222876
2.633592584,105930123,3.266,-9.133,-0.578,0.010,0.000,0.002,-222699
2.633666375,105934343,3.266,-9.133,-0.578,0.010,0.000,0.002,-222922
2.633742209,105937564,3.266,-9.133,-0.578,-0.006,-0.008,-0.002,-222986
2.633814292,105943785,3.266,-9.133,-0.578,0.000,0.008,0.002,-223036
2.633889834,105948006,3.266,-9.133,-0.578,0.006,-0.004,-0.002,-222914
2.633966084,105953227,3.266,-9.133,-0.578,0.012,0.006,-0.008,-222896
2.638175792,105957448,3.266,-9.133,-0.578,0.000,0.010,0.014,-222439
2.666888167,105962669,3.266,-9.133,-0.578,-0.004,0.000,0.008,-223102
2.666964959,105965890,3.266,-9.133,-0.578,-0.004,0.000,0.008,-222361
2.667039,105970111,3.266,-9.133,-0.578,-0.010,-0.002,0.000,-222332
2.667112459,105975332,3.266,-9.133,-0.539,-0.010,-0.002,0.000,-222941
2.667185,105978553,3.266,-9.133,-0.539,0.002,-0.004,0.002,-223618
2.667257917,105984774,3.266,-9.133,-0.539,0.004,0.002,-0.002,-221668
2.669717875,105988997,3.266,-9.133,-0.539,0.002,0.002,0.000,-222477
2.700229667,105992218,3.266,-9.133,-0.539,-0.010,0.006,0.002,-222984
2.700303167,105996439,3.266,-9.133,-0.539,0.006,0.000,0.014,-222262
2.700378667,106000659,3.266,-9.133,-0.539,0.002,0.000,-0.004,-222690
2.70045225,106004880,3.305,-9.133,-0.617,0.002,0.000,-0.004,-223187
