sample_start,frames,pc_time_s_callback,input_buffer_adc_time,current_time
0,512,0.010832167,43842.48151667489,43842.496319666
512,512,0.022385125,43842.49312667489,43842.507895791
1024,512,0.033983208,43842.50473663289,43842.519510041006
1536,512,0.045591375,43842.51634659089,43842.531111041004
2048,512,0.057200708,43842.527956590886,43842.542718916004
2560,512,0.068807042,43842.53956654989,43842.554334458
3072,512,0.080485417,43842.55117654989,43842.565981208005
3584,512,0.092051583,43842.562786507886,43842.577565458
4096,512,0.10364225,43842.57439650789,43842.589167541
4608,512,0.115344083,43842.58600646589,43842.6008325
5120,512,0.126883542,43842.597616465886,43842.612394125004
5632,512,0.138514292,43842.60922642489,43842.624025666
6144,512,0.15008675,43842.62083642489,43842.635602958006
6656,512,0.161710917,43842.632446382886,43842.647221416
7168,512,0.17333525,43842.64405634089,43842.658846708
7680,512,0.184939875,43842.65566634089,43842.67044925
8192,512,0.196526417,43842.667276299886,43842.682042083004
8704,512,0.20815275,43842.67888629989,43842.693676
9216,512,0.219745625,43842.69049625789,43842.705266708006
9728,512,0.233540167,43842.702106257886,43842.716886166
10240,512,0.242943958,43842.71371621589,43842.728477583005
10752,512,0.254529083,43842.72532621589,43842.7400655
11264,512,0.266868125,43842.736936174886,43842.751706333
11776,512,0.277770875,43842.74854617489,43842.763302416
12288,512,0.289445458,43842.76015613289,43842.774950416
12800,512,0.301014417,43842.77176609089,43842.786539708
13312,512,0.312626542,43842.78337609089,43842.798140916006
13824,512,0.324273458,43842.79498604989,43842.809777833005
14336,512,0.3358095,43842.806596049886,43842.821344625
14848,512,0.347429667,43842.81820600789,43842.832958916006
15360,512,0.359082083,43842.82981600789,43842.844595250004
15872,512,0.370618083,43842.84142596589,43842.856160416006
16384,512,0.382303583,43842.85303596589,43842.867816833
16896,512,0.393910625,43842.86464592489,43842.879424583
17408,512,0.405582917,43842.876255924886,43842.891081625006
17920,512,0.417135208,43842.88786588289,43842.902647333
18432,512,0.428745458,43842.89947584089,43842.914255208
18944,512,0.440346333,43842.91108584089,43842.925860666
19456,512,0.45194275,43842.92269579989,43842.937462
19968,512,0.463545292,43842.93430579989,43842.949072916
20480,512,0.475178958,43842.94591575789,43842.960694583
20992,512,0.486766417,43842.95752575789,43842.972286125005
21504,512,0.500219917,43842.96912559089,43842.983917625
22016,512,0.510007333,43842.98073538289,43842.995520166005
22528,512,0.521673,43842.99234517489,43843.007164875
23040,512,0.533549667,43843.00395492489,43843.018774250006
23552,512,0.544808167,43843.01556471589,43843.030331666
24064,512,0.556428625,43843.02717446589,43843.041943250006
24576,512,0.56808025,43843.038784257886,43843.0535795
25088,512,0.579629458,43843.05039404989,43843.065157375
25600,512,0.5913185,43843.06200379989,43843.076821666
