frame_idx,pc_time_s
350,11.679167708
351,11.713148958
352,11.744613667
353,11.780413125
354,11.810716125
355,11.843803708
356,11.878611417
357,11.911914542
358,11.945785417
359,11.979772792
360,12.013914292
361,12.045530875
362,12.077896167
363,12.109687917
364,12.133666542
365,12.16699975
366,12.202437792
367,12.233846
368,12.266999958
369,12.302488042
370,12.336483042
371,12.373192167
372,12.408976667
373,12.44634675
374,12.480078125
375,12.513006042
376,12.547451625
377,12.581181917
378,12.612039
379,12.6446165
380,12.679530542
381,12.713701333
382,12.746509375
383,12.778732333
384,12.813174833
385,12.845432375
386,12.878912667
387,12.911946292
388,12.947567
389,12.981482042
390,13.014522125
391,13.044966417
392,13.078629667
393,13.112670042
394,13.145153833
395,13.181514833
396,13.213456875
397,13.245010458
398,13.275652583
399,13.311654333
400,13.342224917
401,13.380078875
402,13.412164083
403,13.44579475
404,13.479882583
405,13.512997
406,13.546555167
407,13.580775375
408,13.610427083
409,13.645271792
410,13.680430042
411,13.713109292
412,13.746341458
413,13.778905833
414,13.810265917
415,13.845123042
416,13.877880792
417,13.91090075
418,13.945389208
419,13.979829625
420,14.014071792
421,14.045319542
422,14.078202542
423,14.111782083
424,14.145182875
425,14.183140208
426,14.21423175
427,14.245042042
428,14.276304125
429,14.312149833
430,14.342548
431,14.381004667
432,14.413616208
433,14.448224458
434,14.479782333
435,14.514004917
436,14.547530333
437,14.581840917
438,14.612466292
439,14.644665125
440,14.6799755
441,14.713536958
442,14.746680708
443,14.779581667
444,14.810299792
445,14.845011125
446,14.878740917
447,14.911998
448,14.947147458
449,14.980644625
450,15.014460167
451,15.04554325
452,15.079642083
453,15.113219083
454,15.144995125
455,15.182284417
456,15.211888708
457,15.245220708
458,15.278703
459,15.309784333
460,15.343985083
461,15.380662042
462,15.413541958
463,15.444821042
464,15.479853625
465,15.513122083
466,15.547553042
467,15.582081625
468,15.612327333
469,15.645609333
470,15.679113375
471,15.712543542
472,15.747159208
473,15.781206375
474,15.811037542
475,15.839085583
476,15.877516375
477,15.909174042
478,15.945705417
479,15.979957542
480,16.013791625
481,16.047028583
482,16.08037
483,16.112880833
484,16.146046458
485,16.182440458
486,16.211713542
487,16.245906625
488,16.279059458
489,16.310277708
490,16.344596708
491,16.379201375
492,16.411659125
493,16.445707
494,16.478809875
495,16.513920917
496,16.547336333
497,16.581882125
498,16.612234375
499,16.644166833
500,16.679281417
501,16.713818875
502,16.747280417
503,16.78185625
504,16.811179667
505,16.844634875
506,16.879149375
507,16.913880625
508,16.946827417
509,16.981496208
510,17.014139417
511,17.045910875
512,17.079233333
513,17.110174708
514,17.133666542
515,17.166999792
516,17.204473
517,17.237679833
518,17.271922458
519,17.307205167
520,17.341901958
521,17.378474125
522,17.409654208
523,17.444425
524,17.479257458
525,17.513741042
526,17.5479025
527,17.58161525
528,17.610311792
529,17.6465565
530,17.680277958
531,17.714451667
532,17.747598375
533,17.781682667
534,17.813431125
535,17.844526625
536,17.874013542
537,17.907874125
538,17.944837375
539,17.981169167
540,18.01323325
541,18.045294167
542,18.079879875
543,18.113227917
544,18.143262833
545,18.179582042
546,18.212826625
547,18.244981042
548,18.278116
549,18.311998167
550,18.342965208
551,18.379805917
552,18.411929458
553,18.446925917
554,18.478543583
555,18.514201042
556,18.547226125
557,18.581938083
558,18.611567875
559,18.645366375
560,18.679304042
561,18.714623875
562,18.747333958
563,18.781676458
564,18.814249625
565,18.844059375
566,18.873697667
567,18.9063065
568,18.945603417
569,18.980810875
570,19.013637042
571,19.047234542
572,19.079310792
573,19.113298
574,19.14693775
575,19.181974333
576,19.214725
577,19.245637
578,19.279468167
579,19.314016583
580,19.344265292
581,19.379381708
582,19.41098275
583,19.446537583
584,19.479637042
585,19.514616208
586,19.547859042
587,19.581779917
