sample_start,frames,pc_time_s_callback,input_buffer_adc_time,current_time
0,512,0.011092875,100062.23190950789,100062.2467745
512,512,0.022534125,100062.24351950789,100062.258310916
1024,512,0.03416275,100062.25512946589,100062.269932958
1536,512,0.045777792,100062.2667394659,100062.281547583
2048,512,0.062336042,100062.27834942489,100062.293122083
2560,512,0.068908208,100062.28995942489,100062.304718041
3072,512,0.080538,100062.3015693829,100062.3163305
3584,512,0.097221083,100062.3131793829,100062.32799995801
4096,512,0.103755167,100062.3247893409,100062.339558416
4608,512,0.115442875,100062.3363992999,100062.351210583
5120,512,0.132027792,100062.3480092999,100062.36281408301
5632,512,0.138560458,100062.3596192579,100062.37435791601
6144,512,0.150216708,100062.37122925789,100062.38600254101
6656,512,0.166866042,100062.38283921589,100062.39765175001
7168,512,0.173447042,100062.39444921589,100062.40923916601
7680,512,0.185057333,100062.40605917489,100062.42084116601
8192,512,0.200407708,100062.41766917489,100062.432477583
8704,512,0.208269,100062.42927913289,100062.44405958301
9216,512,0.219865792,100062.4408891329,100062.455654791
9728,512,0.233736375,100062.4524990909,100062.46730925
10240,512,0.243069333,100062.46410904989,100062.47887158301
10752,512,0.259709417,100062.4757190499,100062.49049629101
11264,512,0.267066167,100062.4873290079,100062.502129875
11776,512,0.27791775,100062.4989390079,100062.513709833
12288,512,0.294563833,100062.51054896589,100062.52535308301
12800,512,0.301031833,100062.52215896589,100062.536876583
13312,512,0.31276875,100062.5337689249,100062.548549
13824,512,0.329405125,100062.54537892489,100062.560193083
14336,512,0.33596,100062.55698888289,100062.57175420801
14848,512,0.347608417,100062.56859888289,100062.5833865
15360,512,0.364199333,100062.5802088409,100062.594994583
15872,512,0.370805625,100062.59181879989,100062.606599708
16384,512,0.382423208,100062.60342879989,100062.618211541
16896,512,0.399049333,100062.6150387579,100062.629844083
17408,512,0.405610125,100062.6266487579,100062.64141120801
17920,512,0.417289333,100062.63825871589,100062.65306095801
18432,512,0.433704958,100062.64986871589,100062.66464512501
18944,512,0.440428333,100062.6614786749,100062.676232458
19456,512,0.452040625,100062.6730886749,100062.687843458
19968,512,0.467077292,100062.68469863289,100062.6994845
20480,512,0.475307542,100062.69630863289,100062.71109212501
20992,512,0.48693975,100062.7079185909,100062.72271604101
21504,512,0.500409333,100062.7195232159,100062.734321625
22016,512,0.510173583,100062.73113309089,100062.74594262501
22528,512,0.526759833,100062.74274296589,100062.75753512501
