pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.211959625,38013577,3.383,-8.980,-1.535,0.000,0.000,0.000,-222230
2.21422625,38015884,3.305,-8.977,-1.535,0.000,0.000,0.000,-221837
2.218403042,38020121,3.305,-8.977,-1.535,0.000,0.000,0.000,-221652
2.22061225,38022341,3.305,-8.977,-1.535,0.002,0.002,0.008,-222328
2.224935167,38026562,3.305,-8.977,-1.535,-0.002,0.000,0.000,-222154
2.233790542,38030783,3.305,-8.977,-1.535,-0.004,0.000,0.006,-221708
2.234304833,38036004,3.305,-8.977,-1.535,0.004,0.004,0.004,-222247
2.237502667,38039225,3.344,-8.980,-1.535,0.004,0.004,0.004,-222115
2.24275525,38044446,3.344,-8.980,-1.535,-0.006,0.000,-0.006,-221141
2.246949792,38048667,3.344,-8.980,-1.535,0.002,-0.006,0.004,-222097
2.251175875,38052888,3.344,-8.980,-1.535,-0.002,0.002,0.004,-222301
2.255405833,38057109,3.344,-8.980,-1.535,0.000,0.002,-0.002,-221912
2.259616625,38061330,3.344,-8.980,-1.535,0.006,-0.002,0.010,-222265
2.267337167,38065551,3.422,-8.977,-1.496,0.006,-0.002,0.010,-221426
2.26740875,38067772,3.422,-8.977,-1.496,0.002,0.004,-0.014,-221939
2.270271625,38071993,3.422,-8.977,-1.496,0.010,0.000,-0.002,-222605
2.274550542,38076214,3.422,-8.977,-1.496,-0.014,-0.002,0.004,-222399
2.278848417,38080435,3.422,-8.977,-1.496,0.000,0.008,0.010,-221525
2.283950292,38085656,3.422,-8.977,-1.496,0.002,0.000,0.006,-221704
2.2892335,38090877,3.422,-8.977,-1.496,-0.006,0.006,0.000,-222309
2.294445833,38096098,3.344,-8.977,-1.574,-0.006,0.006,0.000,-222419
2.297606417,38099319,3.344,-8.977,-1.574,0.004,-0.002,-0.012,-221664
2.303846125,38105540,3.344,-8.977,-1.574,0.006,-0.006,-0.006,-222347
2.308064333,38109761,3.344,-8.977,-1.574,-0.004,0.000,0.006,-222820
2.312329417,38113982,3.344,-8.977,-1.574,0.018,-0.002,-0.008,-222067
2.317553833,38119203,3.344,-8.977,-1.574,0.008,-0.002,0.000,-222075
2.321943208,38123424,3.344,-8.977,-1.574,0.004,-0.006,-0.004,-221829
2.326036958,38127645,3.344,-8.980,-1.535,0.004,-0.006,-0.004,-222110
2.329267792,38130866,3.344,-8.980,-1.535,0.002,0.018,0.000,-221853
2.335411833,38137087,3.344,-8.980,-1.535,0.004,0.006,0.020,-221663
2.339683458,38141308,3.344,-8.980,-1.535,0.018,-0.002,-0.004,-221842
2.34493025,38146529,3.344,-8.980,-1.535,-0.008,-0.006,-0.012,-222543
2.349101458,38150751,3.344,-8.980,-1.535,0.004,-0.002,0.008,-222323
2.354321542,38155972,3.344,-8.980,-1.535,0.014,0.000,-0.004,-222192
2.357470958,38159193,3.344,-9.016,-1.461,0.014,0.000,-0.004,-222191
2.362814833,38164414,3.344,-9.016,-1.461,0.014,-0.002,0.006,-221824
2.366964708,38168620,3.344,-9.016,-1.461,0.010,0.006,-0.012,-221824
2.372176,38173840,3.344,-9.016,-1.461,0.000,0.002,0.004,-222096
2.376414625,38178061,3.344,-9.016,-1.461,0.006,-0.004,-0.006,-222049
2.380604875,38182282,3.344,-9.016,-1.461,0.000,-0.004,-0.014,-221618
2.384782042,38186503,3.383,-8.980,-1.535,0.000,-0.004,-0.014,-221897
2.388086583,38189724,3.383,-8.980,-1.535,0.004,-0.006,0.012,-222680
2.394327792,38195945,3.383,-8.980,-1.535,0.000,-0.002,-0.012,-221968
2.398538458,38200166,3.383,-8.980,-1.535,-0.004,-0.006,0.002,-220854
2.403230958,38204387,3.383,-8.980,-1.535,-0.002,-0.002,0.000,-221670
2.406984458,38208608,3.383,-8.980,-1.535,0.002,0.002,-0.008,-222447
2.412217958,38213829,3.383,-8.980,-1.535,0.010,0.000,-0.004,-222601
2.416430625,38218050,3.383,-8.980,-1.535,0.010,0.000,-0.004,-221740
2.419618042,38221271,3.383,-8.980,-1.535,0.004,0.006,0.010,-221804
2.424868167,38226492,3.383,-8.980,-1.535,0.010,-0.008,0.006,-221479
2.42916625,38230716,3.383,-8.980,-1.535,-0.004,-0.004,0.006,-221403
2.434367458,38235936,3.383,-8.980,-1.535,0.002,0.002,0.006,-221848
2.438638375,38240157,3.383,-8.980,-1.535,-0.008,-0.006,-0.004,-222230
2.442783333,38244378,3.383,-8.980,-1.535,-0.008,0.008,-0.002,-222617
2.446991667,38248599,3.344,-9.020,-1.574,-0.008,0.008,-0.002,-221449
2.45022625,38251820,3.344,-9.020,-1.574,-0.006,0.002,-0.002,-222166
2.456478958,38258041,3.344,-9.020,-1.574,0.006,-0.010,-0.010,-222088
2.460812208,38262262,3.344,-9.020,-1.574,-0.012,0.002,0.006,-221999
2.464948,38266483,3.344,-9.020,-1.574,0.006,0.000,0.004,-221688
2.469208667,38270704,3.344,-9.020,-1.574,0.002,0.000,0.000,-222488
2.475506417,38276925,3.344,-9.020,-1.574,0.006,-0.010,0.006,-222690
2.479521208,38281146,3.344,-8.941,-1.535,0.006,-0.010,0.006,-221531
2.482855917,38284367,3.344,-8.941,-1.535,0.006,-0.002,-0.002,-222498
2.488952917,38290588,3.344,-8.941,-1.535,0.002,-0.002,0.000,-222828
2.49419625,38295809,3.344,-8.941,-1.535,0.004,-0.006,-0.006,-222553
2.49837575,38300030,3.344,-8.941,-1.535,-0.010,-0.004,0.014,-221509
2.502822708,38304251,3.344,-8.941,-1.535,-0.004,-0.004,-0.006,-222286
2.506856917,38308472,3.344,-8.941,-1.535,0.010,0.004,-0.010,-222535
2.512169375,38313693,3.344,-8.980,-1.461,0.010,0.004,-0.010,-222451
2.514329,38315914,3.344,-8.980,-1.461,-0.002,-0.006,-0.012,-222011
2.518712042,38320135,3.344,-8.980,-1.461,-0.010,0.006,-0.008,-222084
2.522959458,38324358,3.344,-8.980,-1.461,0.006,0.000,0.000,-222062
2.5272475,38328579,3.344,-8.980,-1.461,-0.006,-0.010,0.010,-222499
2.532469417,38333800,3.344,-8.980,-1.461,0.002,0.002,0.008,-221614
2.536661917,38338021,3.344,-8.980,-1.461,-0.002,0.000,-0.002,-221834
2.540959625,38342242,3.383,-8.980,-1.613,-0.002,0.000,-0.002,-221898
2.544112917,38345463,3.383,-8.980,-1.613,-0.004,0.004,0.004,-221759
2.549125917,38350684,3.383,-8.980,-1.613,-0.006,-0.002,-0.004,-221669
2.554318833,38355905,3.383,-8.980,-1.613,0.002,0.002,-0.002,-221902
2.558768083,38360126,3.383,-8.980,-1.613,-0.008,-0.004,-0.008,-222466
2.562732125,38364347,3.383,-8.980,-1.613,0.006,0.006,-0.006,-221555
2.567961792,38369568,3.383,-8.980,-1.613,0.018,0.002,-0.004,-221892
2.573215667,38374789,3.383,-8.980,-1.613,0.018,0.002,-0.004,-222543
2.576470917,38378010,3.383,-8.980,-1.613,0.002,-0.004,0.004,-221584
2.581595375,38383231,3.383,-8.980,-1.613,0.004,0.006,-0.010,-221680
2.5857905,38387452,3.383,-8.980,-1.613,0.002,-0.008,0.010,-222137
2.589015833,38390673,3.383,-8.980,-1.613,0.000,-0.002,-0.012,-222584
2.5942015,38395894,3.383,-8.980,-1.613,0.002,-0.004,0.002,-221802
2.599502958,38401115,3.383,-8.980,-1.613,0.002,-0.002,0.006,-221637
2.603699333,38405336,3.344,-8.980,-1.496,0.002,-0.002,0.006,-221894
2.605967458,38407557,3.344,-8.980,-1.496,0.004,-0.002,0.004,-221827
2.612161208,38413778,3.344,-8.980,-1.496,-0.010,-0.006,0.004,-221796
2.61634675,38417999,3.344,-8.980,-1.496,0.010,0.004,0.006,-221819
2.620543375,38422220,3.344,-8.980,-1.496,-0.006,0.000,0.004,-221863
2.624773083,38426441,3.344,-8.980,-1.496,0.008,0.004,0.004,-221920
2.629020375,38430662,3.383,-8.980,-1.535,0.008,0.004,0.004,-221606
2.632210833,38433883,3.383,-8.980,-1.535,0.006,-0.006,0.012,-221315
2.637463958,38439104,3.383,-8.980,-1.535,-0.010,0.006,0.016,-221505
2.641653292,38443326,3.383,-8.980,-1.535,-0.010,-0.004,0.000,-222209
2.645909958,38447548,3.383,-8.980,-1.535,0.002,-0.006,-0.008,-222324
